# m0 | m12  | ng          | ns          | nn          | ll          | sb       | ss       | tb          | bb          | gg       | sg
1040 | 920 | 1.18876 | 1.57478 | 1.06172 | 1.10298 | 3.68862 | 1.09416 | 4.11571 | 6.45553 | 20.1621 | 4.61417
1040 | 940 | 1.19674 | 1.59694 | 1.05904 | 1.10527 | 3.82253 | 1.09367 | 4.22013 | 6.75248 | 21.2272 | 4.80186
1040 | 960 | 1.21059 | 1.61572 | 1.0558 | 1.10823 | 3.95122 | 1.09247 | 4.33957 | 7.11377 | 22.8689 | 5
1040 | 980 | 1.22452 | 1.63465 | 1.05287 | 1.1122 | 4.05594 | 1.09302 | 4.49695 | 7.46019 | 24.7273 | 5.1658
1060 | 1000 | 1.24041 | 1.66129 | 1.05088 | 1.1215 | 4.1676 | 1.09028 | 4.67304 | 7.94918 | 26.7442 | 5.44167
1060 | 100 | 1.18347 | 1.10662 | 1.3376 | 1.0626 | 1.64677 | 1.33708 | 1.80073 | 1.98185 | 1.87425 | 1.81722
1060 | 120 | 1.15733 | 1.11169 | 1.31896 | 1.06218 | 1.64021 | 1.32749 | 1.80178 | 2.00034 | 1.975 | 1.83835
1060 | 140 | 1.13121 | 1.11532 | 1.30893 | 1.06202 | 1.64 | 1.31677 | 1.8127 | 2.02301 | 2.07054 | 1.85082
1060 | 160 | 1.11076 | 1.11935 | 1.29423 | 1.06215 | 1.63522 | 1.31544 | 1.82889 | 2.05146 | 2.16114 | 1.86486
1060 | 180 | 1.09532 | 1.12619 | 1.28119 | 1.06267 | 1.64085 | 1.30882 | 1.84708 | 2.07913 | 2.27551 | 1.8835
1060 | 200 | 1.08014 | 1.13083 | 1.2746 | 1.06186 | 1.64 | 1.30081 | 1.77717 | 2.10377 | 2.375 | 1.90972
1060 | 220 | 1.06941 | 1.13502 | 1.26601 | 1.06126 | 1.64815 | 1.29091 | 1.86684 | 2.15149 | 2.5041 | 1.94059
1060 | 240 | 1.06091 | 1.13827 | 1.25638 | 1.06225 | 1.65764 | 1.28631 | 1.92568 | 2.17557 | 2.6124 | 1.95258
1060 | 260 | 1.05155 | 1.14576 | 1.2476 | 1.0618 | 1.67095 | 1.27229 | 1.96783 | 2.21468 | 2.75072 | 1.98428
1060 | 280 | 1.04844 | 1.15312 | 1.24242 | 1.06224 | 1.6821 | 1.27135 | 2.01943 | 2.25459 | 2.86822 | 2.01381
1060 | 300 | 1.04042 | 1.15884 | 1.23126 | 1.06297 | 1.69907 | 1.26367 | 2.0648 | 2.29853 | 3.03196 | 2.03861
1060 | 320 | 1.03535 | 1.16681 | 1.22335 | 1.06195 | 1.71396 | 1.25758 | 2.09937 | 2.35115 | 3.19048 | 2.07568
1060 | 340 | 1.02926 | 1.17529 | 1.2154 | 1.06321 | 1.73654 | 1.25169 | 2.13623 | 2.40618 | 3.35589 | 2.12121
1060 | 360 | 1.02435 | 1.18205 | 1.20834 | 1.06249 | 1.75972 | 1.24665 | 2.17194 | 2.45948 | 3.51598 | 2.14963
1060 | 380 | 1.02293 | 1.1938 | 1.20056 | 1.06222 | 1.77876 | 1.23794 | 2.20498 | 2.52217 | 3.69962 | 2.18796
1060 | 400 | 1.01959 | 1.20179 | 1.19222 | 1.06467 | 1.81461 | 1.23346 | 2.23843 | 2.59216 | 3.90566 | 2.22904
1060 | 420 | 1.01716 | 1.21152 | 1.18572 | 1.06544 | 1.84286 | 1.22642 | 2.27318 | 2.65632 | 4.12976 | 2.28775
1060 | 440 | 1.01737 | 1.21854 | 1.1804 | 1.06566 | 1.88073 | 1.21839 | 2.30528 | 2.72853 | 4.34783 | 2.3373
