# m0 | m12 | xsec in pb!
1360 | 700  | 0.0034
1360 | 720  | 0.0028
1360 | 740  | 0.0023
1360 | 760  | 0.0019
1360 | 780  | 0.0016
1360 | 800  | 0.0014
1360 | 820  | 0.0011
1360 | 840  | 0.0010
1360 | 860  | 0.0008
1360 | 880  | 0.0007
1360 | 900  | 0.0006
1360 | 920  | 0.0005
1360 | 940  | 0.0004
1360 | 960  | 0.0003
1360 | 980  | 0.0003
1380 | 1000 | 0.0003
1380 | 100  | 86.5600
1380 | 120  | 31.1400
1380 | 140  | 14.2000
1380 | 160  | 7.3260
1380 | 180  | 4.1510
1380 | 200  | 2.4980
1380 | 220  | 1.5920
1380 | 240  | 1.0430
1380 | 260  | 0.7116
1380 | 280  | 0.5012
1380 | 300  | 0.3592
1380 | 320  | 0.2625
1380 | 340  | 0.1939
1380 | 360  | 0.1457
1380 | 380  | 0.1116
1380 | 400  | 0.0858
1380 | 420  | 0.0665
1380 | 440  | 0.0516
1380 | 460  | 0.0411
1380 | 480  | 0.0324
1380 | 500  | 0.0257
1380 | 520  | 0.0208
1380 | 540  | 0.0167
1380 | 560  | 0.0135
1380 | 580  | 0.0110
1380 | 600  | 0.0090
1380 | 620  | 0.0073
1380 | 640  | 0.0060
1380 | 660  | 0.0049
1380 | 680  | 0.0041
1380 | 700  | 0.0034
1380 | 720  | 0.0028
1380 | 740  | 0.0023
1380 | 760  | 0.0020
1380 | 780  | 0.0016
1380 | 800  | 0.0014
1380 | 820  | 0.0011
1380 | 840  | 0.0010
1380 | 860  | 0.0008
1380 | 880  | 0.0007
1380 | 900  | 0.0006
1380 | 920  | 0.0005
1380 | 940  | 0.0004
1380 | 960  | 0.0003
1380 | 980  | 0.0003
1400 | 1000 | 0.0002
1400 | 100  | 87.1700
1400 | 120  | 31.1500
1400 | 140  | 14.1100
1400 | 160  | 7.3800
1400 | 180  | 4.1460
1400 | 200  | 2.5010
1400 | 220  | 1.5910
1400 | 240  | 1.0420
1400 | 260  | 0.7149
1400 | 280  | 0.4986
1400 | 300  | 0.3577
1400 | 320  | 0.2619
1400 | 340  | 0.1934
1400 | 360  | 0.1473
1400 | 380  | 0.1105
1400 | 400  | 0.0856
